scenario_id,dimension,action,customers
budget_0.6,budget,reminder,668
budget_0.6,budget,voucher_5,2
budget_0.6,budget,voucher_10,0
budget_0.6,budget,service_call,19
budget_0.8,budget,reminder,668
budget_0.8,budget,voucher_5,2
budget_0.8,budget,voucher_10,0
budget_0.8,budget,service_call,30
budget_1.0,budget,reminder,656
budget_1.0,budget,voucher_5,13
budget_1.0,budget,voucher_10,1
budget_1.0,budget,service_call,30
budget_1.2,budget,reminder,652
budget_1.2,budget,voucher_5,17
budget_1.2,budget,voucher_10,1
budget_1.2,budget,service_call,30
budget_1.4,budget,reminder,652
budget_1.4,budget,voucher_5,17
budget_1.4,budget,voucher_10,1
budget_1.4,budget,service_call,30
capacity_0.6,capacity,reminder,386
capacity_0.6,capacity,voucher_5,15
capacity_0.6,capacity,voucher_10,1
capacity_0.6,capacity,service_call,18
capacity_0.8,capacity,reminder,519
capacity_0.8,capacity,voucher_5,16
capacity_0.8,capacity,voucher_10,1
capacity_0.8,capacity,service_call,24
capacity_1.0,capacity,reminder,656
capacity_1.0,capacity,voucher_5,13
capacity_1.0,capacity,voucher_10,1
capacity_1.0,capacity,service_call,30
capacity_1.2,capacity,reminder,795
capacity_1.2,capacity,voucher_5,7
capacity_1.2,capacity,voucher_10,0
capacity_1.2,capacity,service_call,36
capacity_1.4,capacity,reminder,875
capacity_1.4,capacity,voucher_5,0
capacity_1.4,capacity,voucher_10,0
capacity_1.4,capacity,service_call,37
economics_margin_0.8_subsidy_0.75,economics,reminder,648
economics_margin_0.8_subsidy_0.75,economics,voucher_5,20
economics_margin_0.8_subsidy_0.75,economics,voucher_10,2
economics_margin_0.8_subsidy_0.75,economics,service_call,30
economics_margin_0.8_subsidy_1.00,economics,reminder,662
economics_margin_0.8_subsidy_1.00,economics,voucher_5,8
economics_margin_0.8_subsidy_1.00,economics,voucher_10,0
economics_margin_0.8_subsidy_1.00,economics,service_call,30
economics_margin_0.8_subsidy_1.25,economics,reminder,670
economics_margin_0.8_subsidy_1.25,economics,voucher_5,0
economics_margin_0.8_subsidy_1.25,economics,voucher_10,0
economics_margin_0.8_subsidy_1.25,economics,service_call,30
economics_margin_1.0_subsidy_0.75,economics,reminder,646
economics_margin_1.0_subsidy_0.75,economics,voucher_5,22
economics_margin_1.0_subsidy_0.75,economics,voucher_10,2
economics_margin_1.0_subsidy_0.75,economics,service_call,30
economics_margin_1.0_subsidy_1.00,economics,reminder,656
economics_margin_1.0_subsidy_1.00,economics,voucher_5,13
economics_margin_1.0_subsidy_1.00,economics,voucher_10,1
economics_margin_1.0_subsidy_1.00,economics,service_call,30
economics_margin_1.0_subsidy_1.25,economics,reminder,663
economics_margin_1.0_subsidy_1.25,economics,voucher_5,7
economics_margin_1.0_subsidy_1.25,economics,voucher_10,0
economics_margin_1.0_subsidy_1.25,economics,service_call,30
economics_margin_1.2_subsidy_0.75,economics,reminder,645
economics_margin_1.2_subsidy_0.75,economics,voucher_5,23
economics_margin_1.2_subsidy_0.75,economics,voucher_10,2
economics_margin_1.2_subsidy_0.75,economics,service_call,30
economics_margin_1.2_subsidy_1.00,economics,reminder,656
economics_margin_1.2_subsidy_1.00,economics,voucher_5,13
economics_margin_1.2_subsidy_1.00,economics,voucher_10,1
economics_margin_1.2_subsidy_1.00,economics,service_call,30
economics_margin_1.2_subsidy_1.25,economics,reminder,658
economics_margin_1.2_subsidy_1.25,economics,voucher_5,11
economics_margin_1.2_subsidy_1.25,economics,voucher_10,1
economics_margin_1.2_subsidy_1.25,economics,service_call,30
