scenario_id,dimension,budget_multiplier,capacity_multiplier,margin_multiplier,voucher_subsidy_multiplier,total_budget,push_capacity,email_capacity,call_capacity,customers_contacted,budget_used,predicted_net_value,true_incremental_net_value,reminder_baseline_true_net_value,improvement_vs_reminder,oracle_true_net_value,regret_vs_oracle,assignment_change_rate_vs_base,all_constraints_pass
budget_0.6,budget,0.6,1.0,1.0,1.0,150.0,350,320,30,689,149.8887087200178,1220.4735039759187,1203.396970142082,1081.815396809671,0.1123866176160564,1257.8612777262097,0.04329913683532803,0.012333333333333333,True
budget_0.8,budget,0.8,1.0,1.0,1.0,200.0,350,320,30,700,199.99831461988612,1276.100897240283,1263.5901874780402,1081.815396809671,0.1680275499909063,1320.7618906415223,0.04328691156867994,0.004,True
budget_1.0,budget,1.0,1.0,1.0,1.0,250.0,350,320,30,700,249.7422016428173,1288.16108281671,1248.0424084542744,1081.815396809671,0.15365561641553205,1322.0587929542721,0.055985698135709,0.0,True
budget_1.2,budget,1.2,1.0,1.0,1.0,300.0,350,320,30,700,256.98370261154173,1288.455757461629,1246.0885406720708,1081.815396809671,0.15184951549668235,1322.0587929542721,0.05746359593618237,0.0016666666666666668,True
budget_1.4,budget,1.4,1.0,1.0,1.0,350.0,350,320,30,700,256.98370261154173,1288.455757461629,1246.0885406720708,1081.815396809671,0.15184951549668235,1322.0587929542721,0.05746359593618237,0.0016666666666666668,True
capacity_0.6,capacity,1.0,0.6,1.0,1.0,250.0,210,192,18,420,176.34806336230076,1062.1625698198754,1016.8744810552025,906.5677820962196,0.1216750706758245,1097.309721752622,0.07330222188221239,0.09833333333333333,True
capacity_0.8,capacity,1.0,0.8,1.0,1.0,250.0,280,256,24,560,216.9706859368554,1193.0855743564432,1148.0140473050851,1010.1596208415635,0.13646796369535652,1219.6092623456004,0.05870340382855127,0.049666666666666665,True
capacity_1.0,capacity,1.0,1.0,1.0,1.0,250.0,350,320,30,700,249.7422016428173,1288.16108281671,1248.0424084542744,1081.815396809671,0.15365561641553205,1322.0587929542721,0.055985698135709,0.0,True
capacity_1.2,capacity,1.0,1.2,1.0,1.0,250.0,420,384,36,838,249.96303833620152,1348.6842087385523,1348.5671703088606,1140.987125908333,0.18193022487898314,1407.1711066072908,0.041646631332365194,0.050666666666666665,True
capacity_1.4,capacity,1.0,1.4,1.0,1.0,250.0,490,448,42,912,249.93999999999997,1371.1521509329637,1388.4278099497224,1179.5802282189688,0.17705246047239154,1441.1810137691486,0.03660414848337463,0.07733333333333334,True
economics_margin_0.8_subsidy_0.75,economics,1.0,1.0,0.8,0.75,250.0,350,320,30,700,248.41442285320764,994.2405798394448,957.8335564077624,852.8123174477369,0.12314695368651463,1018.5077767252066,0.05957168094732576,0.0033333333333333335,True
economics_margin_0.8_subsidy_1.00,economics,1.0,1.0,0.8,1.0,250.0,350,320,30,700,221.18719635145715,982.6254114820636,960.381584788724,852.8123174477369,0.12613474868997687,1017.1842368794319,0.055843032197362634,0.002,True
economics_margin_0.8_subsidy_1.25,economics,1.0,1.0,0.8,1.25,250.0,350,320,30,700,198.2,980.7511290194028,971.4993490576302,852.8123174477369,0.13917133838438822,1016.9695125132179,0.04471143224659519,0.004666666666666667,True
economics_margin_1.0_subsidy_0.75,economics,1.0,1.0,1.0,0.75,250.0,350,320,30,700,249.8638003685242,1305.1680724027713,1258.9281933042905,1081.815396809671,0.16371813251774214,1326.8414670308405,0.05118416586611806,0.004333333333333333,True
economics_margin_1.0_subsidy_1.00,economics,1.0,1.0,1.0,1.0,250.0,350,320,30,700,249.7422016428173,1288.16108281671,1248.0424084542744,1081.815396809671,0.15365561641553205,1322.0587929542721,0.055985698135709,0.0,True
economics_margin_1.0_subsidy_1.25,economics,1.0,1.0,1.0,1.25,250.0,350,320,30,700,225.86188038265703,1277.732475613407,1250.4085819413467,1081.815396809671,0.15584284123600534,1321.0377960992896,0.053464945792235596,0.0023333333333333335,True
economics_margin_1.2_subsidy_0.75,economics,1.0,1.0,1.2,0.75,250.0,350,320,30,700,249.96590280596573,1616.1927802559549,1560.3004411674347,1310.8184761716052,0.19032533453790634,1642.6706526632513,0.05014408175020985,0.004666666666666667,True
economics_margin_1.2_subsidy_1.00,economics,1.0,1.0,1.2,1.0,250.0,350,320,30,700,249.74220164281726,1595.7417397086158,1546.9349259856303,1310.8184761716052,0.18012902175717738,1628.8906009645098,0.050313799422963865,0.0,True
economics_margin_1.2_subsidy_1.25,economics,1.0,1.0,1.2,1.25,250.0,350,320,30,700,249.85689899418531,1582.1276516386833,1540.4170474312298,1310.8184761716052,0.17515664863848524,1625.7016699138776,0.05246019245779936,0.0016666666666666668,True
